time,latitude,longitude
12:00, 35.0116, 135.7681
12:01, 35.0120, 135.7685
12:02, 35.0124, 135.7689
12:03, 35.0128, 135.7693
12:04, 35.0132, 135.7697
12:05, 35.0136, 135.7701
12:06, 35.0140, 135.7705
12:07, 35.0144, 135.7709
12:08, 35.0148, 135.7713
12:09, 35.0152, 135.7717
12:10, 35.0156, 135.7721
12:11, 35.0160, 135.7725
12:12, 35.0164, 135.7729
12:13, 35.0168, 135.7733
12:14, 35.0172, 135.7737
12:15, 35.0176, 135.7741
12:16, 35.0180, 135.7745
12:17, 35.0184, 135.7749
12:18, 35.0188, 135.7753
12:19, 35.0192, 135.7757
12:20, 35.0196, 135.7761
12:21, 35.0200, 135.7765
12:22, 35.0204, 135.7769
12:23, 35.0208, 135.7773
12:24, 35.0212, 135.7777
12:25, 35.0216, 135.7781
12:26, 35.0220, 135.7785
12:27, 35.0224, 135.7789
12:28, 35.0228, 135.7793
12:29, 35.0232, 135.7797
12:30, 35.0236, 135.7801